iter	Passed	Remaining
574	36956	27315
575	37046	27270
576	37125	27216
577	37206	27164
578	37278	27105
579	37356	27050
580	37434	26996
581	37505	26936
582	37581	26881
583	37653	26821
584	37730	26765
585	37799	26704
586	37899	26664
587	37973	26607
588	38064	26560
589	38141	26504
590	38211	26444
591	38289	26388
592	38360	26328
593	38437	26271
594	38506	26210
595	38583	26153
596	38656	26094
597	38731	26036
598	38802	25976
599	38878	25919
600	38970	25872
601	39040	25810
602	39110	25749
603	39184	25690
604	39254	25629
605	39331	25571
606	39407	25513
607	39484	25456
608	39558	25398
609	39630	25337
610	39707	25279
611	39787	25224
612	39864	25167
613	39935	25106
614	40012	25048
615	40085	24988
616	40167	24933
617	40241	24874
618	40320	24817
619	40390	24755
620	40476	24702
621	40552	24644
622	40633	24588
623	40705	24527
624	40779	24467
625	40850	24405
626	40929	24348
627	41001	24287
628	41077	24228
629	41148	24166
630	41222	24106
631	41297	24046
632	41374	23988
633	41444	23925
634	41519	23865
635	41590	23803
636	41663	23742
637	41736	23681
638	41811	23621
639	41880	23557
640	41955	23497
641	42022	23433
642	42096	23372
643	42162	23307
644	42236	23246
645	42304	23182
646	42378	23121
647	42445	23056
648	42517	22995
649	42590	22933
650	42660	22869
651	42734	22809
652	42802	22745
653	42877	22684
654	42947	22621
655	43021	22560
656	43090	22496
657	43161	22433
658	43230	22369
659	43301	22307
660	43369	22242
661	43441	22180
662	43508	22115
663	43584	22054
664	43650	21989
665	43724	21927
666	43792	21863
667	43864	21800
668	43934	21737
669	44004	21673
670	44076	21611
671	44143	21546
672	44217	21484
673	44284	21419
674	44358	21357
675	44427	21293
676	44499	21230
677	44569	21167
678	44645	21106
679	44712	21041
680	44785	20978
681	44857	20915
682	44926	20851
683	44999	20789
684	45064	20723
685	45135	20659
686	45201	20594
687	45272	20530
688	45337	20464
689	45409	20401
690	45479	20337
691	45549	20273
692	45621	20210
693	45690	20145
694	45764	20083
695	45832	20018
696	45908	19957
697	45980	19894
698	46053	19831
699	46121	19766
700	46192	19702
701	46263	19638
702	46335	19575
703	46414	19515
704	46487	19452
705	46558	19388
706	46627	19323
707	46695	19258
708	46770	19196
709	46840	19131
710	46913	19068
711	46981	19003
712	47082	18951
713	47173	18895
714	47243	18831
715	47311	18766
716	47389	18704
717	47458	18639
718	47529	18575
719	47599	18510
720	47672	18447
721	47740	18382
722	47817	18320
723	47887	18255
724	47958	18191
725	48031	18127
726	48099	18061
727	48175	17999
728	48241	17933
729	48312	17869
730	48384	17805
731	48455	17740
732	48528	17676
733	48595	17610
734	48668	17546
735	48735	17481
736	48807	17416
737	48873	17350
738	48955	17290
739	49026	17225
